시도,지역구분,세부차종,제조사,모델명,국비(만원),지방비(만원),보조금(만원)
부산,부산광역시,전기화물,케이지모빌리티,토레스 EVX 밴 18인치,348,0,348
부산,부산광역시,전기화물,케이지모빌리티,토레스 EVX 밴 18인치(2026),355,0,355
경기,평택시,전기화물,케이지모빌리티,토레스 EVX VAN 20인치,312,171,483
경기,평택시,전기화물,케이지모빌리티,토레스 EVX VAN 18인치,314,172,486
경기,평택시,전기화물,케이지모빌리티,MUSSO EV 2WD 17인치,639,351,990
경기,평택시,전기화물,케이지모빌리티,MUSSO EV AWD 17인치,618,339,957
경기,평택시,전기화물,케이지모빌리티,토레스 EVX 밴 20인치,344,189,533
경기,평택시,전기화물,케이지모빌리티,토레스 EVX 밴 18인치,348,191,539
경기,평택시,전기화물,케이지모빌리티,토레스 EVX 밴 18인치(2026),355,195,550
경기,동두천시,전기화물,케이지모빌리티,토레스 EVX VAN 20인치,312,156,468
경기,동두천시,전기화물,케이지모빌리티,토레스 EVX VAN 18인치,314,157,471
경기,동두천시,전기화물,케이지모빌리티,MUSSO EV 2WD 17인치,639,319,958
경기,동두천시,전기화물,케이지모빌리티,MUSSO EV AWD 17인치,618,309,927
경기,동두천시,전기화물,케이지모빌리티,토레스 EVX 밴 20인치,344,172,516
경기,동두천시,전기화물,케이지모빌리티,토레스 EVX 밴 18인치,348,174,522
경기,동두천시,전기화물,케이지모빌리티,토레스 EVX 밴 18인치(2026),355,177,532
경기,구리시,전기화물,케이지모빌리티,토레스 EVX VAN 20인치,312,156,468
경기,구리시,전기화물,케이지모빌리티,토레스 EVX VAN 18인치,314,157,471
